시험보다는 간단한 과제나 토론 위주의 수업으로 유익한 강의였습니다.
기말고사 대신 조끼리의 토론을 토대로 성적을 매기기 때문에 부담이 덜합니다.
질 높은 교양 강의. 중간 PPT와 기말 레포트가 교양치고는 많은 노력을 기울이게 하지만 그만큼 얻어가는 게 많은 강의. 전학영 듣기 전에 수강해서 전학영 날로 먹은 건 덤. 교수님도 학생들한테 워낙 친절하고 1:1 피드백도 확실해서 하라는대로만 하면 A+은 따놓은 당상이다.
교수님 재밌으시고 배우는 내용도 나름 재밌습니다. 영어할줄 아시면 편안하게 성적 잘받아 갈 수 있습니다.
영어 어느 정도하면 그래도 꽤 할만 합니다. 참여만 잘 하면 A 잘 주십니다.과제 난이도도 어렵지 않고 자유주제인 경우가 많아 편하게 하면 됩니다
시험 없고 발표 몇번 하면 끝외국 살다 온 사람들 많아서 딴 사람들 다 음~끄덕끄덕할때 난 음?하고 있는 경우 굉장히 많았음드랍 마려울정도로 괴로워서 영어 자신있으면 듣길바람
냉정한평가를 해봉성적은 잘주는게 맞음. 과제양도 많지 않음. 교수님이 재밌는 편임. 중간중간 드립치시는게 웃김(이거 근데 영어 못하면 알아듣지도 못하고 남들 다웃는데 나만 못웃음ㅋㅋㅋㅋㅋㅋ 그런적 좀 많았음 난)단점: 기본적으로 내용이 좀 어려움. 영어 피지컬이 좀 안된다면 한학기동안 굉장히 힘들거임. 나의 경우 영어를 막 잘하진 않았지만 절대 못하는축은 아닌데 힘들었음. 과제에 대해 교수님이 설명을 해주는데 그거 이해하는거 자체가 어려웠음. 근데 옆에 국제학부애들은 끄덕끄덕하면서 다 이해하더라. 기준: 본인이 전학영이 버거웠다면 패스하시길. 한학기동안 힘들거임결론: 영어 자신있으면 꿀교양이니 듣고 자신없으면 꿀이라곤 못하겠음
너무 좋습니다!! 영어 잘하시면 무조건 듣는거 추천합니다 숨겨진 꿀강,, 과제 거의 없고 엄청 편하게 들었던 수업
좋아요 좋아요 마지막에 논문 바탕으로 발표까지 같이 준비하라고 하셔서 좀 빡셌는데 그래도 들을만 해요그래도 영어 잘하는 사람이 들으시길
The final paper was quite stressful but I learned a lot from this class. This is one of the most practical classes I’ve ever taken. Professor is great and great and open-minded. Even you can not speak English well, this class will not put too much pressure on you.
