Clases were useful, but the grading system is not that fair.
수업 중 안내가 두리뭉실할 때가 많습니다. 영어 못하는 사람도 많이 들어서 소통도 좀 힘들었고요.. A0는 쉽게 나오는데 A+ 받긴 좀 빡셀듯
대충해서 성적 받을 수 있는 과목은 아님기본적인 스피킹 라이팅 안 되면 버거울 수 있음과제 양이 엄청 많진 않음시험은 없고 4번의 큰 과제 + 작은 과제들(짧은 글 주시고 소감문/질문에 대한 답문) + (출석)으로 성적 주시는데 너그럽진 않으신 듯다만 철저하게 가이드 따르면 A+ 받을 수 있음교수님도 좋은 분 같음!!진정으로 학생들이 비즈니스 월드에서 영어로 소통하는 기본적인 루브릭들을 배워갔으면 하시는 게 느껴짐실제로 실무적 차원에서 응용할 수 있을 듯한 것들 배워서 유익했음
영어 못하시면 비추입니다. 한학기 동안 이메일 쓰기, 전화통화하기, 미팅하기가 있는데 이메일 제외 다 팀플입니다. 외국인 유학생들도 있어서 영어 못하면 조금 따라가기 어려울것 같습니다. 대신 성적은 영어 능력보단 루브릭에 맞게 했는지를 더 보는것 같아요.
일단! 영어 배우고 싶으신분? 가지마세요 영어 안된다고 봐주지 않은 교수님입니다. 오티때도 영어가 안되면 수강 포기하시라고 합니다.시험이 없는 대신 과제가 몇개 있는데 총 4개라고 보시면 됩니다. 1. 비즈니스 세계에서 쓰는 이메일 양식 쓰기(제일 길고 제일 할거 좀 많음). 2.전화하는 방법 (파트너랑 전화해서 녹음한 다음 교수님께 제출 대본 써도 됨 진짜 ㄹㅇ 통화해야함 아이폰 유저들 주의). 3.비즈니스 미팅하는 방법(이건 팀플입니다. 교수님이 주제를 던저주시면 그 주제 관해 약간 토론을 한다고 생각하면 됩니다 대본X. 그리고 이거 평가 하는게 개인이 아닌 팀 평가라 본인이 아무리 잘해도 팀도 잘 해야 점수 잘 받습니다)4. 메모 쓰기. 학교 알림판 같은데 공지사항 아시죠? 그걸 영어로 쓴다고 생각하시면 됩니다. 교수님이 주신 양식대로 쓰시면 평 잘 받음!파트너,팀은 랜덤 배정입니다. 교수님이 다 짜요.조금 귀찮은 수업이긴 하지만 양식대로 하면 무난하게 A제로는 받을수 있어요 근데.. A+ 진짜 열심히 해야 받을수 있습니다.
A0는 받기 쉽지만 A+은 받기 어려운 수업이에요. 교수님이 스스로 수업시간에 A를 70프로 이상 주신다고 하셨습니다. 하지만 수업 난이도가 워낙 어렵고 외국인 학생도 꽤 듣는 수업이기 때문에 영어를 배우려고 오시는 분은 지양하시는게 좋을 것 같아요.. 이미 영어를 자유롭게 구사하실 수 있거나 영어에 자신감이 충분히 있고, 비즈니스 영어 양식을 제대로 배워보고 싶으신 분에게만 추천합니다. 저는 개인적으로 비즈니스 영어 메일, 미팅, 메모, 전화 등에 쓰는 표현과 양식을 전문적으로 배울 수 있어서 좋았고 많이 얻어가는 수업이었어요! 성적이 생각보다 짤 수 있지만 그만큼 과제를 열심히 하는 과정에서 배워가는게 많았기 때문에 만족합니다 :)
제가 정말 많은 유익한 지식을 얻고 가는 수업입니다. 개인과제는 잘했는데 팀플은 점수가 잘 안 나와 에제만 받아서 좀 아쉬었어요..
ㅋㅋ걍 교수가 님 성적 부수려고 작정합니다 절대듣지마세요
본인이 영어로 말하고 쓰는게 어느 정도 된다면 추천 아니라면 좀 더 배우고 하시고나 다른 걸로 영역 체우세요. 나쁘지는 않았음 대체로
이번 학기에 이 과목만 에제맞고 나머지는 에쁠맞았습니다 LMS상에서 95 이상이라 안심했는데 에제라 점수를 손수 계산해보니 94.8정도 나오더라고요 교수님 정말 깐깐하시고 칼절평입니다 저는 수업도 맘에 들었고 팀플하면서 좋은 분들도 만났지만 기준 맞추는데 좀 피곤했어요
과제가 총 4번이고 여기서 받은 점수들의 합으로 절대평가 이루어집니다. 95점부터 에이쁠이라서 1점이 소중하니 정말 신중하게 검토해야됩니다. (맞춤법, 문서 양식 등) 수업 시간은 어렵지 않지만 매번 팀을 짜서 토론을 해야 되서 신경이 쓰이긴 했습니다. 중간기말은 없어서 편했고 깐깐하셔서 절평이지만 쉽게 볼수는 없다고 할 수 있습니다.
